Index,contributor,file_name,patient_id,model_id,tumor_id,case_id,sample_id,sample_type,experimental_strategy,gender,paired_end,capture_kit,capture_assembly,availability,public,access_level,created_datetime,data_category,data_format,data_type,platform,is_ffpe,file_size,passage,disease_type,comment,investigation,disease_detail
1566,WISTAR,wm3907n_R1.fastq.gz,WM3907,wm3907n,NA,NA,wm3907n,Tumor,WES,NA,1,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,5439234,Tumor,Unknown,NA,NA,Unknown
1567,WISTAR,wm3907n_R2.fastq.gz,WM3907,wm3907n,NA,NA,wm3907n,Tumor,WES,NA,2,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,6415082,Tumor,Unknown,NA,NA,Unknown
1568,WISTAR,wm3922n_R1.fastq.gz,WM3922,wm3922n,NA,NA,wm3922n,Tumor,WES,NA,1,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,3024602,Tumor,Unknown,NA,NA,Unknown
1569,WISTAR,wm3922n_R2.fastq.gz,WM3922,wm3922n,NA,NA,wm3922n,Tumor,WES,NA,2,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,3671122,Tumor,Unknown,NA,NA,Unknown
1570,WISTAR,wm3926n_R1.fastq.gz,WM3926,wm3926n,NA,NA,wm3926n,Tumor,WES,NA,1,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,3679890,Tumor,Unknown,NA,NA,Unknown
1571,WISTAR,wm3926n_R2.fastq.gz,WM3926,wm3926n,NA,NA,wm3926n,Tumor,WES,NA,2,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,4094170,Tumor,Unknown,NA,NA,Unknown
1572,WISTAR,wm3934n_R1.fastq.gz,WM3934,wm3934n,NA,NA,wm3934n,Tumor,WES,NA,1,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,8629970,Tumor,Unknown,NA,NA,Unknown
1573,WISTAR,wm3934n_R2.fastq.gz,WM3934,wm3934n,NA,NA,wm3934n,Tumor,WES,NA,2,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,9278578,Tumor,Unknown,NA,NA,Unknown
1574,WISTAR,wm3936n_R1.fastq.gz,WM3936,wm3936n,NA,NA,wm3936n,Tumor,WES,NA,1,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,3123946,Tumor,Unknown,NA,NA,Unknown
1575,WISTAR,wm3936n_R2.fastq.gz,WM3936,wm3936n,NA,NA,wm3936n,Tumor,WES,NA,2,Nextera DNA Exome FC-144-1004,NA,PDXNet,No,Open Access,NA,Raw Sequencing Data,fastq.gz,Raw Reads,Illumina,FALSE,3383850,Tumor,Unknown,NA,NA,Unknown
