id,name,size,project,trimmed_read_count,p1_1,Is FFPE,passage,sample_id,prop_ribosomal_bases,sample_type,library_prep_kit,RestrictiveIRB,prop_usable_bases,aliquot_id,intervals_file,case_id,cds_status,perc_human_reads,num_human_reads,sample_name,disease_type,mean_coverage,capture_assembly,Generalized_Sample_Type,prop_correct_strand_reads,patient_id,t1,t2,X__inherit__,t3,quality_scale,p0,t4,p0_2,p0_1,p1,t5,lib_prep_kit,p2,reference_name,p3,gender,p4,p5,p6,platform,contributor,library_id,reference_genome,file_format,dbgap_accession,Center,prop_duplication,platform_unit_id,capture_kit,dbgap_upload,model_id,paired_end,__inherit__,update_manifest,species,tumor_id,investigation,prop_20x_cov,experimental_strategy
6053a7661f537262530d81d0,WUSTL/dbGaP_batch1/WES/WU-L034-T1.WES.r1.fastq.gz,2643723290,pdxnet/pdxnet-datapool,,,,,,,Human_tumor,,,,,,WU-L034,,,,,,,,,,WU-L034,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7661f537262530d81c2,WUSTL/dbGaP_batch1/WES/WU-L034-T1.WES.r2.fastq.gz,2746938346,pdxnet/pdxnet-datapool,,,,,,,Human_tumor,,,,,,WU-L034,,,,,,,,,,WU-L034,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7661f537262530d81c3,WUSTL/dbGaP_batch1/WES/WU-L035-N1.WES.r1.fastq.gz,1876415309,pdxnet/pdxnet-datapool,,,,,,,Human_normal,,,,,,WU-L035,,,,,,,,,,WU-L035,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7661f537262530d81f9,WUSTL/dbGaP_batch1/WES/WU-L035-N1.WES.r2.fastq.gz,1886646726,pdxnet/pdxnet-datapool,,,,,,,Human_normal,,,,,,WU-L035,,,,,,,,,,WU-L035,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7661f537262530d827e,WUSTL/dbGaP_batch1/WES/WU-L035-T1-X1P0.WES.r1.fastq.gz,837482288,pdxnet/pdxnet-datapool,,,,,,,PDX,,,,,,WU-L035,,,,,,,,,,WU-L035,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,WU-L035-T1,,,,,WU-L035-T1,,,WES
6053a7661f537262530d824a,WUSTL/dbGaP_batch1/WES/WU-L035-T1-X1P0.WES.r2.fastq.gz,859970829,pdxnet/pdxnet-datapool,,,,,,,PDX,,,,,,WU-L035,,,,,,,,,,WU-L035,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,WU-L035-T1,,,,,WU-L035-T1,,,WES
6053a7661f537262530d8234,WUSTL/dbGaP_batch1/WES/WU-L035-T1.WES.r1.fastq.gz,2993043763,pdxnet/pdxnet-datapool,,,,,,,Human_tumor,,,,,,WU-L035,,,,,,,,,,WU-L035,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7661f537262530d8249,WUSTL/dbGaP_batch1/WES/WU-L035-T1.WES.r2.fastq.gz,3033822320,pdxnet/pdxnet-datapool,,,,,,,Human_tumor,,,,,,WU-L035,,,,,,,,,,WU-L035,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7671f537262530d8930,WUSTL/dbGaP_batch1/WES/WU-L009-N1.WES.r1.fastq.gz,1340376779,pdxnet/pdxnet-datapool,,,,,,,Human_normal,,,,,,WU-L009,,,,,,,,,,WU-L009,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
6053a7671f537262530d898f,WUSTL/dbGaP_batch1/WES/WU-L009-N1.WES.r2.fastq.gz,1359966726,pdxnet/pdxnet-datapool,,,,,,,Human_normal,,,,,,WU-L009,,,,,,,,,,WU-L009,,,,,,,,,,,,,,,,,,,,,WUSTL,,,,,,,,,,,,,,,,,,WES
